from,to,distance
京都府,滋賀県,10.44220657469291
東京都,埼玉県,19.020807682857214
神奈川県,東京都,27.237625185977887
奈良県,大阪府,28.59878537692166
愛知県,岐阜県,28.807581218967176
兵庫県,大阪府,30.81205045766253
奈良県,滋賀県,35.63778181171253
香川県,岡山県,37.090111902877446
奈良県,京都府,38.0323582082131
東京都,千葉県,40.126717852804255
佐賀県,福岡県,41.202297136360706
大阪府,京都府,43.006701937673824
山形県,宮城県,44.522307943369405
神奈川県,埼玉県,45.50098220565236
神奈川県,千葉県,46.88253894464712
大阪府,滋賀県,47.55248333130391
千葉県,埼玉県,51.191727528493224
和歌山県,兵庫県,51.756253469238914
石川県,富山県,53.45552631616524
福島県,山形県,55.30983995727712
栃木県,茨城県,56.2036681545179
香川県,徳島県,56.42747239272178
徳島県,和歌山県,58.72650810035278
奈良県,兵庫県,59.40870477335997
和歌山県,大阪府,60.53097578529856
三重県,愛知県,61.804367267477176
奈良県,三重県,61.979968700822
兵庫県,京都府,63.8376865673818
熊本県,佐賀県,65.70662987789784
滋賀県,三重県,65.89099395106261
福島県,宮城県,67.69687906324488
愛媛県,広島県,67.83549346471771
長崎県,佐賀県,68.5909114532524
福井県,石川県,69.0612165470066
兵庫県,滋賀県,71.57033290870322
京都府,三重県,75.94067857369897
三重県,岐阜県,76.0099831105823
群馬県,栃木県,76.08633387942075
高知県,愛媛県,77.40203800027037
静岡県,山梨県,78.21256392680922
埼玉県,群馬県,79.48323666192378
和歌山県,奈良県,79.54541869972917
埼玉県,栃木県,81.58934973998741
熊本県,長崎県,81.87826730693999
長野県,群馬県,83.7701782026068
富山県,長野県,86.62133079454321
千葉県,茨城県,86.92776360350827
岐阜県,福井県,87.51497080936544
徳島県,岡山県,87.60524295879557
滋賀県,岐阜県,88.70458426012489
埼玉県,茨城県,89.66150769949212
秋田県,岩手県,89.83162489582782
徳島県,兵庫県,90.07553544991168
大阪府,三重県,90.4994274286442
鹿児島県,宮崎県,90.69924932241621
山梨県,群馬県,92.19746645170747
山口県,広島県,93.74086032840557
大分県,熊本県,95.27968086134011
熊本県,福岡県,95.67107281832362
東京都,群馬県,96.4595867078748
滋賀県,愛知県,96.47193849455148
京都府,岐阜県,96.97210842544963
岡山県,鳥取県,97.60390118500212
高知県,香川県,98.8199064534599
東京都,栃木県,98.96312072417187
東京都,茨城県,99.32899192168718
山梨県,埼玉県,99.8344919121269
山梨県,神奈川県,100.09864228163673
山梨県,東京都,101.5055594376083
和歌山県,京都府,103.51463155297985
香川県,和歌山県,104.06110846198449
